//Saturated signal retrival input.
//fArea12: The fractional area between the 1st & 2nd peaks in the signal trace
//fArea23: The fractional area between the 2nd & 3rd peaks in the signal trace
//fArea12=(Area under 1st peak)/(Area under 2nd peak)
//fArea23=(Area under 2nd peak)/(Area under 3rd peak)
//b_min: Lower limit (bin no.) for signal integration under a peak
//b_max: Upper limit (bin no.) for 	,,	,,	,,
//Det no.	fArea12		err_fArea12	fArea23		err_fArea23	B_Min	B_Max
1		2.852		0.0306		2.629		0.0551		10	65
2		2.729		0.0285		2.509		0.0461		10	45
3		2.707		0.0278		2.492		0.0352		10	39
4		2.753		0.0321		2.524		0.0304		10	43
5		2.930		0.0276		2.654		0.0527		8	40
6		2.534		0.1015		3.666		0.4105		9	68
7		2.803		0.0372		2.546		0.0385		15	54
8		2.852		0.0320		2.586		0.0425		10	79
9		2.803		0.0237		2.633		0.0230		15	64
10		2.822		0.0270		2.603		0.0528		11	63
11		2.903		0.0289		2.562		0.0452		11	83
12		2.799		0.0271		2.511		0.0374		11	40
13		2.750		0.0171		2.525		0.0307		15	40
14		2.625		0.0214		2.488		0.0240		10	33
15		2.806		0.0247		2.567		0.0382		10	55
16		2.713		0.0235		2.499		0.0316		13	47
17		2.860		0.0285		2.681		0.0515		11	74
18		2.753		0.0287		2.548		0.0407		9	60
19		2.869		0.0241		2.574		0.0477		10	80
20		2.608		0.0482		2.272		0.0552		13	88
21        2.852        0.0306        2.629        0.0551        10    65
22        2.729        0.0285        2.509        0.0461        10    45
23        2.707        0.0278        2.492        0.0352        10    39
24        2.753        0.0321        2.524        0.0304        10    43
25        2.930        0.0276        2.654        0.0527        8    40
26        2.534        0.1015        3.666        0.4105        9    68
27        2.803        0.0372        2.546        0.0385        15    54
28        2.852        0.0320        2.586        0.0425        10    79
29        2.803        0.0237        2.633        0.0230        15    64
30        2.822        0.0270        2.603        0.0528        11    63
31        2.903        0.0289        2.562        0.0452        11    83
32        2.799        0.0271        2.511        0.0374        11    40
33        2.750        0.0171        2.525        0.0307        15    40
34        2.625        0.0214        2.488        0.0240        10    33
35        2.806        0.0247        2.567        0.0382        10    55
36        2.713        0.0235        2.499        0.0316        13    47
37        2.860        0.0285        2.681        0.0515        11    74
38        2.753        0.0287        2.548        0.0407        9    60
39        2.869        0.0241        2.574        0.0477        10    80
40        2.608        0.0482        2.272        0.0552        13    88
